Date,Event Name,Venue,Location
2015-03-13,Corrosion of Conformity @ Electric Ballroom,Electric Ballroom,"London, UK"
2015-03-06,Postiljonen @ The Lexington,The Lexington,"London, UK"
2015-03-05,Tune-Yards @ Royal Festival Hall,Royal Festival Hall,"London, UK"
2015-02-27,Evan Dando @ Union Chapel,Union Chapel,"Islington, UK"
2015-01-31,Roni Size @ KOKO,KOKO,"London, UK"
2015-01-24,Matthew Halsall @ Kings Place,Kings Place,"London, UK"
2015-01-16,Too Many T's @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2014-12-19,Slowdive @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2014-12-09,Behemoth @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2014-11-26,The National @ The O2,The O2,"London, UK"
2014-11-19,White Lung @ Camden Assembly,Camden Assembly,"Camden, UK"
2014-11-17,…And You Will Know Us by the Trail of Dead @ Dingwalls,Dingwalls,"London, UK"
2014-10-29,Sons of Kemet @ XOYO,XOYO,"London, UK"
2014-10-18,ECLECTIC VOICES @ Union Chapel,Union Chapel,"Islington, UK"
2014-10-17,Hidden Orchestra @ Union Chapel,Union Chapel,"Islington, UK"
2014-10-03,Neil Cowley @ Barbican Centre,Barbican Centre,"London, UK"
2014-09-19,Kate Bush @ Eventim Apollo,Eventim Apollo,"London, UK"
2014-08-29,End of the Road Festival 2014 @ Larmer Tree Gardens,Larmer Tree Gardens,"Salisbury, UK"
2014-08-16,Public Service Broadcasting @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2014-08-13,Slint @ Electric Brixton,Electric Brixton,"London, UK"
2014-08-02,Visions 2014 @ Visions 2014,Visions 2014,"London, UK"
2014-07-29,Mogwai @ KOKO,KOKO,"London, UK"
2014-07-26,Walthamstow Garden Party 2014 @ Walthamstow Garden Party 2014,Walthamstow Garden Party 2014,"London, UK"
2014-07-22,TEEN @ The Lexington,The Lexington,"London, UK"
2014-07-12,British Summer Time Festival 2014 @ Hyde Park,Hyde Park,"London, UK"
2014-07-04,British Summer Time Festival 2014 @ Hyde Park,Hyde Park,"London, UK"
2014-07-03,British Summer Time Festival 2014 @ Hyde Park,Hyde Park,"London, UK"
2014-06-27,Affairs @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2014-06-20,CC14 (Camden Crawl) 2014 @ CC14 (Camden Crawl) 2014,CC14 (Camden Crawl) 2014,"London, UK"
2014-06-06,Fujiya & Miyagi @ The Haunt,The Haunt,"Brighton, UK"
2014-06-03,Wooden Shjips @ Electric Ballroom,Electric Ballroom,"London, UK"
2014-05-27,Swans @ Electric Brixton,Electric Brixton,"London, UK"
2014-05-22,Neutral Milk Hotel @ Roundhouse,Roundhouse,"London, UK"
2014-05-19,Slowdive @ Village Underground,Village Underground,"London, UK"
2014-05-18,Jonny Greenwood @ Barbican Centre,Barbican Centre,"London, UK"
2014-05-10,Beyond the Redshift 2014 @ Beyond the Redshift 2014,Beyond the Redshift 2014,"London, UK"
2014-04-25,Her Name Is Calla @ St Pancras Old Church,St Pancras Old Church,"London, UK"
2014-04-17,These New Puritans @ Barbican Centre,Barbican Centre,"London, UK"
2014-04-09,Therapy? @ Scala,Scala,"London, UK"
2014-03-29,The Cure @ Royal Albert Hall,Royal Albert Hall,"London, UK"
2014-03-21,Younghusband @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2014-02-26,Eminem @ DHL Stadium,DHL Stadium,"Cape Town, South Africa"
2014-02-14,Sonar 2014 @ Münchenbryggeriet,Münchenbryggeriet,"Stockholm, Sweden"
2014-02-12,Moderat @ KOKO,KOKO,"London, UK"
2014-01-22,Akil the MC @ Jazz Cafe,Jazz Cafe,"London, UK"
2013-12-03,Michael Rother @ Netil House,Netil House,"London, UK"
2013-11-26,Run The Jewels @ Electric Brixton,Electric Brixton,"London, UK"
2013-11-21,Godspeed You! Black Emperor @ O2 Academy Brixton,O2 Academy Brixton,"Brixton, UK"
2013-11-08,Steve Mason @ The Cockpit,The Cockpit,"Leeds, UK"
2013-11-07,Trentemøller @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2013-11-01,Portico @ Village Underground,Village Underground,"London, UK"
2013-10-29,Efterklang @ Heaven,Heaven,"London, UK"
2013-10-26,Quest Ensemble @ Union Chapel,Union Chapel,"Islington, UK"
2013-10-24,Neil Halstead @ Cecil Sharp House,Cecil Sharp House,"London, UK"
2013-10-19,The Orb @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2013-10-09,Charles Bradley @ KOKO,KOKO,"London, UK"
2013-10-07,Esben and the Witch @ The Lexington,The Lexington,"London, UK"
2013-09-30,The Oscillation @ The Lexington,The Lexington,"London, UK"
2013-09-27,Pixies @ Electric Brixton,Electric Brixton,"London, UK"
2013-09-21,Tori Tori Bird @ Union Chapel,Union Chapel,"Islington, UK"
2013-09-20,AK/DK @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2013-09-17,Fuck Buttons @ Electric Ballroom,Electric Ballroom,"London, UK"
2013-09-15,Disco Loco 2013 @ Springfield Park,Springfield Park,"London, UK"
2013-09-06,Fuzzy Lights @ St Pancras Old Church,St Pancras Old Church,"London, UK"
2013-08-30,End of the Road Festival 2013 @ Larmer Tree Gardens,Larmer Tree Gardens,"Salisbury, UK"
2013-08-10,Visions 2013 @ Oval Space,Oval Space,"London, UK"
2013-08-02,Standon Calling 2013 @ Standon Lordship,Standon Lordship,"Standon, UK"
2013-07-27,Open East Festival 2013 @ Queen Elizabeth Olympic Park,Queen Elizabeth Olympic Park,"London, UK"
2013-07-26,Mogwai @ Barbican Centre,Barbican Centre,"London, UK"
2013-07-20,Lambeth Country Show 2013 @ Brockwell Park,Brockwell Park,"London, UK"
2013-07-19,The Wytches @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2013-07-17,Japandroids @ Dingwalls,Dingwalls,"London, UK"
2013-07-12,Ray Davies @ Hyde Park,Hyde Park,"London, UK"
2013-06-29,LTJ Bukem @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2013-06-27,GOAT @ Electric Ballroom,Electric Ballroom,"London, UK"
2013-06-26,The National @ Roundhouse,Roundhouse,"London, UK"
2013-06-21,Exit Calm @ Tooting Tram & Social,Tooting Tram & Social,"London, UK"
2013-06-18,Melt Yourself Down @ Electrowerkz,Electrowerkz,"London, UK"
2013-06-08,The Stone Roses @ Finsbury Park,Finsbury Park,"London, UK"
2013-05-22,Deap Vally @ Scala,Scala,"London, UK"
2013-05-08,De La Soul @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2013-05-02,Death Grips @ O2 Forum Kentish Town,O2 Forum Kentish Town,"London, UK"
2013-04-24,Metallica @ DHL Stadium,DHL Stadium,"Cape Town, South Africa"
2013-04-05,Cape Town International Jazz Festival 2013 @ Cape Town International Jazz Festival 2013,Cape Town International Jazz Festival 2013,"Cape Town, South Africa"
